New York,8175133
Los Angeles,3792621
Chicago,2695598
Houston,2099451
Philadelphia,1526006
Phoenix,1445632
San Antonio,1327407
San Diego,1307402
Dallas,1197816
San Jose,945942
Jacksonville,821784
Indianapolis,820445
San Francisco,805235
Austin,790390
Columbus,787033
Fort Worth,741206
Charlotte,731424
Detroit,713777
El Paso,649121
Memphis,646889
Baltimore,620961
Boston,617594
Seattle,608660
Nashville,601222
Denver,600158
Louisville,597337
Milwaukee,594833
Portland,583776
Las Vegas,583756
Oklahoma City,579999
Albuquerque,545852
Tucson,520116
Fresno,494665
Sacramento,466488
Long Beach,462257
Kansas City,459787
Mesa,439041
Virginia Beach,437994
Atlanta,420003
Colorado Springs,416427
Omaha,408958
Raleigh,403892
Miami,399457
Cleveland,396815
Tulsa,391906
Oakland,390724
Minneapolis,382578
Wichita,382368
Arlington,365438
Bakersfield,347483
New Orleans,343829
Honolulu,337256
Anaheim,336265
Tampa,335709
Aurora,325078
Santa Ana,324528
Saint Louis,319294
Pittsburgh,305704
Corpus Christi,305215
Riverside,303871
Cincinnati,296943
Lexington,295803
Anchorage,291826
Stockton,291707
Toledo,287208
Saint Paul,285068
Newark,277140
Greensboro,269666
Buffalo,261310
Plano,259841
Lincoln,258379
Henderson,257729
Fort Wayne,253691
Jersey City,247597
Saint Petersburg,244769
Chula Vista,243916
Norfolk,242803
Orlando,238300
Chandler,236123
Laredo,236091
Madison,233209
Winston-Salem,229617
Lubbock,229573
Baton Rouge,229493
Durham,228330
Garland,226876
Glendale,226721
Reno,225221
Hialeah,224669
Chesapeake,222209
Scottsdale,217385
North Las Vegas,216961
Irving,216290
Fremont,214089
Irvine,212375
Birmingham,212237
Rochester,210565
San Bernardino,209924
Spokane,208916
Gilbert,208453
Arlington,207627
Montgomery,205764
Boise,205671
Richmond,204214
Des Moines,203433
Modesto,201165
Fayetteville,200654
Shreveport,199311
Akron,199110
Tacoma,198397
Aurora,197899
Oxnard,197899
Fontana,196069
Yonkers,195976
Augusta,195844
Mobile,195111
Little Rock,193524
Moreno Valley,193365
Glendale,191719
Amarillo,190695
Huntington Beach,189992
Columbus,189885
Grand Rapids,188040
Salt Lake City,186440
Tallahassee,181376
Worcester,181045
Newport News,180719
Huntsville,180105
Knoxville,178874
Providence,178042
Santa Clarita,176320
Grand Prairie,175396
Brownsville,175023
Jackson,173514
Overland Park,173372
Garden Grove,170883
Santa Rosa,167815
Chattanooga,167674
Oceanside,167086
Fort Lauderdale,165521
Rancho Cucamonga,165269
Port Saint Lucie,164603
Ontario,163924
Vancouver,161791
Tempe,161719
Springfield,159498
Lancaster,156633
Eugene,156185
Pembroke Pines,154750
Salem,154637
Cape Coral,154305
Peoria,154065
Sioux Falls,153888
Springfield,153060
Elk Grove,153015
Rockford,152871
Palmdale,152750
Corona,152374
Salinas,150441
Pomona,149058
Pasadena,149043
Joliet,147433
Paterson,146199
Kansas City,145786
Torrance,145438
Syracuse,145170
Bridgeport,144229
Hayward,144186
Fort Collins,143986
Escondido,143911
Lakewood,142980
Naperville,141853
Dayton,141527
Hollywood,140768
Sunnyvale,140081
Alexandria,139966
Mesquite,139824
Hampton,137436
Pasadena,137122
Orange,136416
Savannah,136286
Cary,135234
Fullerton,135161
Warren,134056
Clarksville,132929
McKinney,131117
McAllen,129877
New Haven,129779
Sterling Heights,129699
West Valley City,129480
Columbia,129272
Killeen,127921
Topeka,127473
Thousand Oaks,126683
Cedar Rapids,126326
Olathe,125872
Elizabeth,124969
Waco,124805
Hartford,124775
Visalia,124442
Gainesville,124354
Simi Valley,124237
Stamford,122643
Bellevue,122363
Concord,122067
Miramar,122041
Coral Springs,121096
Lafayette,120623
Charleston,120083
Carrollton,119097
Roseville,118788
Thornton,118772
Beaumont,118296
Allentown,118032
Surprise,117517
Evansville,117429
Abilene,117063
Frisco,116989
Independence,116830
Santa Clara,116468
Springfield,116250
Vallejo,115942
Victorville,115903
Athens,115452
Peoria,115007
Lansing,114297
Ann Arbor,113934
El Monte,113475
Denton,113383
Berkeley,112580
Provo,112488
Downey,111772
Midland,111147
Norman,110925
Waterbury,110366
Costa Mesa,109960
Inglewood,109673
Manchester,109565
Murfreesboro,108755
Columbia,108500
Elgin,108188
Clearwater,107685
Miami Gardens,107167
Rochester,106769
Pueblo,106595
Lowell,106519
Wilmington,106476
Arvada,106433
Ventura,106433
Westminster,106114
West Covina,106098
Gresham,105594
Fargo,105549
Norwalk,105549
Carlsbad,105328
Fairfield,105321
Cambridge,105162
Wichita Falls,104553
High Point,104371
Billings,104170
Green Bay,104057
West Jordan,103712
Richmond,103701
Murrieta,103466
Burbank,103340
Palm Bay,103190
Everett,103019
Flint,102434
Antioch,102372
Erie,101786
South Bend,101168
Daly City,101123
Centennial,100377
Temecula,100097
